,BCH,BCN,BELA,BTS,BURST,DASH,DCR,DGB,DOGE,ETC,ETH,FCT,LTC,MAID,NAV,NXT,REP,SC,STEEM,STR,STRAT,SYS,VRC,XEM,XMR,XPM,XRP,ZEC,BTC
REP,0.2835008484396025,0.13348917462865423,0.28532618547720934,0.3869115607539271,0.35989567431420155,0.49154378192524417,0.31013963467425876,0.31638982177715386,0.43948295581718644,0.5196368350089207,0.5668177576443947,0.5827431885096636,0.42644559739556553,0.5719111232587114,0.32646589348617083,0.36869572414928103,1.0,0.4344314399264162,0.3578897052485207,0.3081549712366806,0.43816918921599624,0.4414948778510963,0.3153205423025287,0.40945109741789154,0.5694186301186098,0.37223618100191275,0.2646760505727521,0.48844529991338076,0.4228350063141515
SC,0.22301506902756282,0.24268008331401858,0.38947089956997283,0.528164038085026,0.512581253753891,0.34940739202243953,0.38893393092251805,0.6926659178016876,0.6026965625904961,0.36925707169349953,0.4256343559724904,0.5477436237855805,0.38765562650859864,0.5501884652923513,0.442428163526444,0.48103423854167077,0.4344314399264162,1.0,0.38644156872143115,0.435140542174951,0.5411580069587439,0.5572457980987159,0.3779970196036278,0.372824406490829,0.4287980103407912,0.39568484276873134,0.2868171360885656,0.3287687411081633,0.3931086481095591
STEEM,0.20656543632793598,0.11054278663525659,0.25063324127081005,0.4733256119093961,0.33721891272593624,0.3590996580481087,0.2609634348855173,0.3569295521342271,0.4021783236728787,0.2965483499459074,0.3291455157122644,0.4616670657713425,0.31030928828355975,0.43746730744508217,0.27983797773708025,0.42997805493332775,0.3578897052485207,0.38644156872143115,1.0,0.3937204531751311,0.45113378022260137,0.4129387258593802,0.277807327643957,0.4168351370602503,0.37908395215319357,0.32924033642760775,0.3505558199000667,0.457532827491224,0.3572136389004337
STR,0.033214209971780824,0.18316257012290307,0.25370751555077026,0.5579391449289166,0.3789279584470307,0.24395514204931554,0.18987440294722127,0.40465453498739656,0.5384518183979892,0.2809563889676762,0.31660302658402356,0.43086572695110203,0.35315956329745407,0.44053310944614205,0.26307031212350607,0.3671837981225006,0.3081549712366806,0.435140542174951,0.3937204531751311,1.0,0.33741076059644026,0.34677456143517904,0.2721430710246354,0.37616157066373723,0.3759186966435493,0.3468821684587542,0.5351604563815469,0.28993858523626614,0.3036418693501344
STRAT,0.07497808842170252,0.11202643436133364,0.41253392549230256,0.4111481072354541,0.4436144964552616,0.4168935485347567,0.36944668070844405,0.4556014707051383,0.4491178861659665,0.46644767238740475,0.4879930465356767,0.5472581833551088,0.4350822994747509,0.5123831375165695,0.4219810628036202,0.4361646285675996,0.43816918921599624,0.5411580069587439,0.45113378022260137,0.33741076059644026,1.0,0.5478119905803251,0.2894036187878978,0.3659979786635335,0.4384871629742205,0.431066652249737,0.27104401381741,0.40333205150889345,0.4955909238685273
SYS,0.19190939750204922,0.2386560315333303,0.3654937133274675,0.4415090101571863,0.4578082635234552,0.3890051131421794,0.39127628275217835,0.44354595573745986,0.49342164913665043,0.4955632673329646,0.4832827057555896,0.5878739672138045,0.43672343776833294,0.6254798284929817,0.5118294401010706,0.4737142179263787,0.4414948778510963,0.5572457980987159,0.4129387258593802,0.34677456143517904,0.5478119905803251,1.0,0.4249500104474275,0.3704520846889643,0.43506846298801866,0.42428406119049406,0.22678814390361535,0.35784124636231507,0.4814316582342382
VRC,0.03975399313017139,0.14525147575429972,0.19636096434081565,0.32437428721440675,0.30356755238474414,0.2208817261350199,0.216091116994368,0.26313141061225537,0.3336185681931681,0.2614131441161393,0.33673279368724984,0.3770488185649396,0.2914330028967647,0.4556613487089953,0.2997597870840931,0.2971261632706355,0.3153205423025287,0.3779970196036278,0.277807327643957,0.2721430710246354,0.2894036187878978,0.4249500104474275,1.0,0.29983448870065815,0.32402072705701734,0.2832110331793758,0.22007137746485372,0.2587731048263391,0.33300811545162506
XEM,0.18775629807694685,0.14242440304427434,0.20112958218911953,0.43176521689512426,0.36274837074854444,0.38409986315323846,0.2848369302900223,0.264630672082974,0.4512305993782903,0.39206178861170776,0.45288147271094037,0.4336104613414348,0.4270861766649916,0.47353222528951794,0.3284458067310675,0.4046020854543887,0.40945109741789154,0.372824406490829,0.4168351370602503,0.37616157066373723,0.3659979786635335,0.3704520846889643,0.29983448870065815,1.0,0.3931128929670474,0.37141018338941145,0.31181755331136,0.4279177734468687,0.4019353771882194
XMR,0.227677354701358,0.16050341668947812,0.304784696881765,0.42226436652561217,0.34282801038168065,0.5590028969812296,0.2999526927314144,0.2988289922848838,0.48808485143485436,0.5308717625577007,0.6116255912107235,0.6541965681469015,0.49686159557270665,0.6210802075997931,0.3680653278039078,0.35680369164482784,0.5694186301186098,0.4287980103407912,0.37908395215319357,0.3759186966435493,0.4384871629742205,0.43506846298801866,0.32402072705701734,0.3931128929670474,1.0,0.3949794417949845,0.2880291407553455,0.5163566712479013,0.5035907499144763
XPM,0.13386257986337083,0.1744362332582142,0.2794601154585521,0.4537478199282491,0.3620284779184995,0.27248534335575514,0.2998393541522594,0.3446824875045856,0.490183740471086,0.32614457895160076,0.34858365428157895,0.47458421122172306,0.39683556320340607,0.4737369358305928,0.331306770098968,0.40140810803213844,0.37223618100191275,0.39568484276873134,0.32924033642760775,0.3468821684587542,0.431066652249737,0.42428406119049406,0.2832110331793758,0.37141018338941145,0.3949794417949845,1.0,0.30709307410489334,0.3482298297675164,0.38760373013434724
XRP,0.038085441036512985,0.1137367317692965,0.20920755398433055,0.503880490690908,0.28827169347821346,0.16464340419636644,0.15350676593404092,0.29698826693817887,0.4415122716315179,0.2045229101645835,0.27834447962829156,0.29326980366142336,0.37170190777009654,0.32821116607705403,0.17758304854076257,0.23319448430346199,0.2646760505727521,0.2868171360885656,0.3505558199000667,0.5351604563815469,0.27104401381741,0.22678814390361535,0.22007137746485372,0.31181755331136,0.2880291407553455,0.30709307410489334,1.0,0.2815696303369448,0.22490748626247134
